{ red  grn  blu }
    1   25   89
  250  204  250
  130  130   49
   34   96   97
  242  157  109
   17   67   96
   77  115   77
  192  144   54
  253  180  182
   53  106   89
   23   82   98
  221  149   77
  252  169  147
  103  123   62
  161  138   43
   13   49   93
  252  192  216
  116  126   56
  233  153   92
   19   75   97
   65  111   83
   27   89   98
   90  119   69
  145  134   45
  207  147   64
    8   37   91
  249  163  128
   43  101   94
   15   59   95
  177  141   47
  253  186  199
  253  175  165
  251  198  234
   71  113   80
   21   79   98
    5   31   90
   59  109   86
  227  151   84
  200  145   59
  153  136   44
  109  124   59
   38   99   95
  169  140   44
  251  166  137
  253  172  156
  138  132   47
  246  160  119
  185  143   50
   14   54   94
   96  121   66
   30   93   98
   16   63   96
   18   71   97
   48  104   92
  253  178  173
  123  128   52
  253  183  190
   25   86   98
   11   43   92
  238  155  100
  214  148   70
  252  195  225
   83  117   73
  252  189  207
  251  202  243
   12   46   93
  106  123   61
  173  140   45
  224  150   81
  235  154   96
  196  145   56
  240  156  105
   62  110   85
  149  135   44
   17   65   96
   13   51   94
  252  197  229
   40  100   95
  165  139   44
  252  194  220
   22   80   98
   26   87   98
   68  112   82
  253  185  194
   87  118   71
   36   97   96
   19   73   97
   99  122   64
   80  116   75
   18   69   97
  127  129   51
   15   56   95
  217  149   74
    3   28   90
  203  146   62
  253  173  160
   45  103   93
  134  131   48
  210  147   67
   10   40   92
