{ red  grn  blu }
  179    1  179
  255  255  102
  205  133  126
  188   78  144
  219  189  112
  197  106  135
  227  219  105
  179   47  156
  212  160  119
  223  203  109
  237  236  103
  201  120  130
  183   63  149
  179   28  166
  216  174  116
  192   92  139
  209  146  123
  179   38  160
  195   99  137
  214  167  118
  185   71  147
  218  181  114
  225  211  107
  203  126  128
  221  196  110
  231  227  104
  181   55  152
  210  153  121
  179   17  172
  246  245  102
  190   85  142
  199  113  132
  207  140  124
  204  130  127
  250  250  102
  182   59  151
  179   43  158
  194   96  138
  200  116  131
  202  123  129
  191   89  140
  218  185  113
  179   33  163
  206  137  125
  189   82  143
  196  103  136
  179   23  169
  220  192  111
  198  110  134
  184   67  148
  179    9  175
  211  157  120
  222  200  110
  234  231  103
  180   51  154
  241  240  102
  210  150  122
  226  215  106
  224  207  108
  229  223  104
  186   75  145
  215  171  117
  217  178  115
  213  164  119
  208  143  124
  253  253  102
  204  128  128
  216  176  115
  198  108  134
  179   20  170
  189   84  142
  223  202  109
  194   98  138
  179   36  162
  207  138  125
  196  105  135
  220  191  112
  208  145  123
  224  209  107
  226  213  106
  182   61  150
  179   45  157
  224  205  108
  213  162  119
  179    5  177
  232  229  103
  205  132  127
  209  148  122
  212  158  120
  219  187  113
  228  221  105
  193   94  139
  179   40  159
  217  180  115
  191   87  141
  227  217  105
  192   91  140
  222  198  110
  181   57  152
  180   49  155
