{ red  grn  blu }
   26   14   52
  254  254  216
  144  135  134
  118   70  108
  161  197  153
  137  105  125
  206  238  183
   75   35   80
  149  165  142
   51   23   65
  146  150  138
  130   89  118
  141  120  130
   99   51   95
  178  218  165
  233  250  201
  153  179  146
  220  245  193
  168  207  158
  134   97  122
   87   43   88
  139  113  127
  142  128  132
  156  188  149
  125   80  114
  244  253  209
  192  229  174
  147  157  140
   63   28   72
  145  142  136
   39   19   58
  109   61  102
  151  172  144
  104   56   99
   57   26   69
  239  251  205
  147  153  139
  138  109  126
  154  183  148
  173  212  161
  132   93  120
  150  168  143
   93   47   91
  249  254  213
  158  192  151
   81   39   84
  140  117  128
  145  146  137
  213  242  188
  142  124  131
  144  139  135
  148  161  141
  227  248  197
   45   21   62
  128   84  116
  114   66  105
  164  202  155
  199  234  178
  122   75  111
  185  223  169
   69   32   76
  135  101  123
  143  131  133
   33   17   55
  151  175  145
  166  204  157
  107   58  100
   42   20   60
  141  122  130
  236  250  203
  123   78  112
  146  152  138
  136  103  124
   36   18   57
  145  141  135
  188  226  171
  120   73  110
   54   24   67
  126   82  115
  153  181  147
  135   99  122
  152  177  146
   29   16   53
  162  199  154
  140  119  129
   60   27   71
  143  130  132
  170  210  160
  230  249  199
  252  254  215
  247  253  211
  210  240  186
  195  231  176
  159  194  152
  144  137  134
  137  107  125
   84   41   86
  148  163  141
  182  221  167
  112   63  104
