{ red  grn  blu }
    7    7    7
  255  230  230
  150  142   92
   77   76   59
  229  170  144
   44   44   39
  251  195  189
  109  108   74
  196  164  116
  127  125   82
   28   28   25
  254  212  211
  175  156  104
  242  179  165
   93   93   67
  215  167  129
   60   60   50
  247  187  177
   20   19   18
  118  116   78
   85   84   63
  253  204  200
   36   36   32
  206  166  123
  255  221  220
   68   68   55
  162  149   98
  138  133   87
   52   51   44
  101  101   71
  221  168  136
  235  174  153
  185  160  110
   89   89   65
  201  165  120
  244  183  171
   72   72   57
  144  138   89
  252  199  195
  169  153  101
  133  129   84
   81   80   61
  113  112   76
  249  191  183
   64   64   52
  123  121   80
   97   97   69
  225  169  140
  191  162  113
  239  176  159
   56   56   47
   40   40   35
  156  146   95
   14   14   13
  210  166  126
  255  226  225
  255  217  215
  254  208  206
   32   32   29
   24   24   22
  233  172  149
   47   47   41
  179  158  107
  106  105   73
  218  167  132
  223  169  138
   50   49   42
   54   54   45
  219  168  134
  111  110   75
   30   30   27
  125  123   81
   58   58   48
  246  185  174
  254  215  213
   11   11   10
  204  165  121
  208  166  124
   83   82   62
  250  193  186
   91   91   66
   22   22   20
   38   38   34
  243  181  168
  227  170  142
  240  178  162
  182  159  108
  251  197  192
   26   26   24
  130  127   83
   87   87   64
  147  140   91
  254  210  208
   95   95   68
  172  154  103
   17   17   16
   70   70   56
  253  201  198
   79   78   60
  248  189  180
